year,year_ending,LGA,offence_count,rate_100k,safe_label
2014,June,Nillumbik,2117,3337.37959737,Top5_Safe
2014,June,Manningham,4193,3510.637407169,Top5_Safe
2014,June,Glen Eira,5639,3924.311383913,Top5_Safe
2014,June,Boroondara,7337,4249.391868412,Top5_Safe
2014,June,Bayside,4259,4267.663356614,Top5_Safe
2014,June,Whitehorse,7373,4486.976630964,NA
2014,June,Yarra Ranges,7104,4674.668351232,NA
2014,June,Monash,8825,4740.800429761,NA
2014,June,Casey,16147,5607.823933708,NA
2014,June,Knox,9686,6152.419426553,NA
2014,June,Kingston,9578,6211.010959082,NA
2014,June,Mornington Peninsula,10108,6458.785942492,NA
2014,June,Wyndham,13101,6501.349795546,NA
2014,June,Maroondah,7337,6584.934617352,NA
2014,June,Cardinia,5870,6665.152719428,NA
2014,June,Moonee Valley,8322,7066.735731936,NA
2014,June,Melton,9488,7337.4629762820005,NA
2014,June,Whittlesea,14053,7479.017983065,NA
2014,June,Merri-bek,12384,7546.663904107,NA
2014,June,Hobsons Bay,6903,7634.626231793,NA
2014,June,Banyule,9880,7897.239962592,NA
2014,June,Hume,16618,8687.878375976,NA
2014,June,Stonnington,9623,9087.389276069,NA
2014,June,Darebin,13669,9142.471122526,NA
2014,June,Brimbank,18169,9154.624423081,NA
2014,June,Greater Dandenong,15846,10415.749170145,NA
2014,June,Maribyrnong,8683,10529.57083783,Top5_Unsafe
2014,June,Port Phillip,11304,10822.299451417,Top5_Unsafe
2014,June,Frankston,14873,10921.494187882,Top5_Unsafe
2014,June,Yarra,12293,14092.951804466,Top5_Unsafe
2014,June,Melbourne,31735,24797.81207267,Top5_Unsafe
2015,June,Nillumbik,2240,3517.864153907,Top5_Safe
2015,June,Manningham,4325,3580.742641884,Top5_Safe
2015,June,Boroondara,6583,3767.031181153,Top5_Safe
2015,June,Glen Eira,5787,3965.762999918,Top5_Safe
2015,June,Bayside,4286,4232.334004819,Top5_Safe
2015,June,Whitehorse,7501,4500.266980243,NA
2015,June,Yarra Ranges,7070,4609.136129238,NA
2015,June,Monash,9411,4974.785118462,NA
2015,June,Wyndham,12946,6054.766971447,NA
2015,June,Knox,9753,6145.557655955,NA
2015,June,Casey,19448,6492.882134558,NA
2015,June,Kingston,10235,6550.651545019,NA
2015,June,Whittlesea,12990,6599.033767342,NA
2015,June,Mornington Peninsula,10535,6632.836159188,NA
2015,June,Cardinia,6333,6861.470454398,NA
2015,June,Maroondah,7810,6910.097944666,NA
2015,June,Banyule,8951,7099.010215088,NA
2015,June,Hobsons Bay,6774,7389.227043655,NA
2015,June,Moonee Valley,9034,7513.869135248,NA
2015,June,Melton,10143,7518.066931031,NA
2015,June,Merri-bek,12923,7698.218859832,NA
2015,June,Brimbank,18151,9036.642437519,NA
2015,June,Stonnington,9797,9068.94508831,NA
2015,June,Maribyrnong,7906,9324.982602644,NA
2015,June,Darebin,14395,9472.014949926,NA
2015,June,Hume,18935,9554.638301308,NA
2015,June,Frankston,14513,10532.694680311,Top5_Unsafe
2015,June,Greater Dandenong,17307,11089.894336189,Top5_Unsafe
2015,June,Port Phillip,11959,11241.669095045,Top5_Unsafe
2015,June,Yarra,12668,14087.60828709,Top5_Unsafe
2015,June,Melbourne,34549,25241.831784441,Top5_Unsafe
2016,June,Manningham,4492,3664.844578608,Top5_Safe
2016,June,Boroondara,8064,4548.839098355,Top5_Safe
2016,June,Glen Eira,6863,4618.967176595,Top5_Safe
2016,June,Whitehorse,8217,4843.758289564,Top5_Safe
2016,June,Bayside,5075,4931.397699005,Top5_Safe
2016,June,Nillumbik,3463,5396.266400723,NA
2016,June,Yarra Ranges,8836,5692.345354515,NA
2016,June,Monash,12230,6349.12394549,NA
2016,June,Knox,10662,6649.080466221,NA
2016,June,Wyndham,15712,6921.341979137,NA
2016,June,Kingston,11302,7110.814704828,NA
2016,June,Mornington Peninsula,11633,7201.847357734,NA
2016,June,Casey,22768,7279.028354578,NA
2016,June,Maroondah,8568,7463.414634146,NA
2016,June,Hobsons Bay,6994,7484.616619402,NA
2016,June,Whittlesea,15500,7485.825227714,NA
2016,June,Moonee Valley,9285,7556.705813414,NA
2016,June,Cardinia,7660,7850.532421879,NA
2016,June,Banyule,10015,7858.16849357,NA
2016,June,Merri-bek,14740,8555.14411413,NA
2016,June,Melton,12179,8611.936076934,NA
2016,June,Brimbank,19604,9600.861942309,NA
2016,June,Stonnington,10730,9666.405412466,NA
2016,June,Darebin,16580,10688.085814112,NA
2016,June,Maribyrnong,9304,10701.387131651,NA
2016,June,Hume,22598,10914.746354587,NA
2016,June,Frankston,16065,11515.963928833,Top5_Unsafe
2016,June,Port Phillip,12852,11831.312657074,Top5_Unsafe
2016,June,Greater Dandenong,20635,12879.005380035,Top5_Unsafe
2016,June,Yarra,13836,14894.395762913,Top5_Unsafe
2016,June,Melbourne,36188,24770.014237214,Top5_Unsafe
2017,June,Manningham,5194,4186.312675807,Top5_Safe
2017,June,Nillumbik,2744,4261.796042618,Top5_Safe
2017,June,Boroondara,8350,4675.487566563,Top5_Safe
2017,June,Whitehorse,8544,4958.361140934,Top5_Safe
2017,June,Bayside,5159,4978.720529622,Top5_Safe
2017,June,Glen Eira,7532,4999.834046932,NA
2017,June,Yarra Ranges,8540,5452.653220194,NA
2017,June,Monash,11721,5992.0249476,NA
2017,June,Wyndham,14731,6101.409897447,NA
2017,June,Cardinia,6606,6463.606743442,NA
2017,June,Hobsons Bay,6321,6688.676549951,NA
2017,June,Kingston,11282,7048.210459239,NA
2017,June,Mornington Peninsula,11638,7091.844196363,NA
2017,June,Casey,23498,7235.118250369,NA
2017,June,Knox,12104,7496.918607892,NA
2017,June,Melton,11147,7500.38689535,NA
2017,June,Banyule,9657,7509.272867241,NA
2017,June,Whittlesea,16114,7518.52335716,NA
2017,June,Moonee Valley,9431,7589.364749811,NA
2017,June,Maroondah,8926,7683.434906862,NA
2017,June,Merri-bek,13913,7948.514331092,NA
2017,June,Brimbank,17862,8669.358752839,NA
2017,June,Stonnington,10830,9660.844587965,NA
2017,June,Maribyrnong,8686,9861.153684593,NA
